year_bp,y_pred,y_std,rolling_window
0,0.35022463247029834,0.3997253695724462,21
50,0.34425434057990284,0.3521210696745912,21
100,0.33105803585165333,0.32088936782058225,21
150,0.3066377792772002,0.30305696260771725,21
200,0.272199646383505,0.29365848413921086,21
250,0.23409042311063238,0.2894056208907894,21
300,0.19956196486089006,0.2883851447373692,21
350,0.17502990830252046,0.28885953158981054,21
400,0.15933698441327682,0.29073884995778565,21
450,0.14931209801509976,0.29647141798334453,21
500,0.14421525280991526,0.30647746445506185,21
550,0.14421887125186475,0.31653698101793637,21
600,0.14703193911314968,0.32279289783397075,21
650,0.14947073613204706,0.3241420141740348,21
700,0.14896529191556732,0.32196430658779174,21
750,0.14475655144826877,0.3193712599193851,21
800,0.13892204347933484,0.31852784058941097,21
850,0.1398718196477552,0.3192221033912277,21
900,0.1568135481751174,0.32128789735922647,21
950,0.195226107608243,0.3246175044135366,21
1000,0.2561438062982088,0.32931021360640267,21
1050,0.34154961660122485,0.3335779912144845,21
1100,0.453217280743596,0.3362909055301106,21
1150,0.5875133006334209,0.3367429591927451,21
1200,0.7273100682419134,0.332591888541145,21
1250,0.8503881896555806,0.3212993447328895,21
1300,0.934525876545377,0.3024705353276378,21
1350,0.959492874944521,0.27919416218226123,21
1400,0.9068852459699677,0.25843641759790115,21
1450,0.7717579097377922,0.24732414573692119,21
1500,0.5840407968966332,0.24550498870422258,21
1550,0.3633555838318059,0.2490057053672957,21
1600,0.12737695031917054,0.25416814525362763,21
1650,-0.09373905049593773,0.26005545738971203,21
1700,-0.2715858645237189,0.2656560277863103,21
1750,-0.3962394872216092,0.27397906286523277,21
1800,-0.4721770239653922,0.29260408965509654,21
1850,-0.5148292289809498,0.32511404007898054,21
1900,-0.5363107638636112,0.37110086962193484,21
1950,-0.54492413393763,0.4293280312102751,21
