year_bp,y_pred,y_std,rolling_window
0,0.3488749710810546,0.39845599093028516,25
50,0.345791705317099,0.348960728235327,25
100,0.33558582438138723,0.3166469590810421,25
150,0.3135063406582068,0.2984005243432946,25
200,0.28005580249756945,0.2887825213875734,25
250,0.24106455674700622,0.28419015086154575,25
300,0.20407675886837612,0.28280617319220624,25
350,0.1759762995300127,0.28274182402204695,25
400,0.15655068811979636,0.28392276908207803,25
450,0.1436656760027953,0.28914605912451824,25
500,0.1369372149080918,0.29914710746877193,25
550,0.13660813197506128,0.30936279944475653,25
600,0.1402288069371341,0.315589789334954,25
650,0.14443362143574345,0.316654619641484,25
700,0.1464394858637009,0.31405691525107216,25
750,0.14542000913780762,0.3110946876443745,25
800,0.14373710489462208,0.3099055975966735,25
850,0.150352183876939,0.309967813012928,25
900,0.1747301946346128,0.310771473263322,25
950,0.22171753610955985,0.3119210333517042,25
1000,0.29131661922440805,0.31346749831145787,25
1050,0.3848471153838291,0.3139276037875602,25
1100,0.5031851174589017,0.31312314565778476,25
1150,0.6415370921518174,0.3119826999327713,25
1200,0.7818593444531929,0.30929379607254304,25
1250,0.9013294016789201,0.3010740563898346,25
1300,0.9777541911135599,0.28514727124573747,25
1350,0.99102956408222,0.2636646440432938,25
1400,0.922879085915834,0.24370747923167663,25
1450,0.7693296946019512,0.23320687430371062,25
1500,0.564541146168998,0.23210467816397326,25
1550,0.3320991904396031,0.23635586833886985,25
1600,0.08834233030990832,0.24205712320859282,25
1650,-0.13733053018149005,0.24855932006296533,25
1700,-0.31573755366224765,0.25524243932818286,25
1750,-0.4386856192366302,0.2652195457311195,25
1800,-0.512295215426746,0.28630993920052367,25
1850,-0.5521386297581194,0.3216810651592569,25
1900,-0.5705464890289464,0.3705562063855408,25
1950,-0.5760998741038477,0.43159358376782675,25
