year_bp,y_pred,y_std,rolling_window
0,0.3371326791380819,0.42050843685189543,50
50,0.33669456966591116,0.3704488762283326,50
100,0.3265571159584283,0.34270444424194246,50
150,0.3008359182160014,0.33109708832655765,50
200,0.25974092471753946,0.3266628336114898,50
250,0.20813532454481748,0.3243446009050462,50
300,0.15516679842280123,0.32297053031470924,50
350,0.11156437769766644,0.3215548171164939,50
400,0.08359909067632085,0.3203596448108596,50
450,0.07609626148926124,0.3225083815701546,50
500,0.09090247060838372,0.32907865114247997,50
550,0.12398095096788506,0.3354974544973594,50
600,0.16682615540963083,0.3376969619421672,50
650,0.21000257385298804,0.33549234538983896,50
700,0.24658282608212295,0.3319421695839047,50
750,0.27556997030042346,0.3312787512915209,50
800,0.3048072844864037,0.3344868182575913,50
850,0.34988378458615726,0.3392955313253399,50
900,0.42501773394685227,0.344199398457895,50
950,0.5368688062991185,0.34874249929017376,50
1000,0.6834820967584627,0.3533130773374132,50
1050,0.859013039287007,0.3562084861499453,50
1100,1.047676967280705,0.3556575011310353,50
1150,1.22317382749979,0.3509636576411375,50
1200,1.3574593356300964,0.34277623652138717,50
1250,1.4313281720458026,0.3307938950692418,50
1300,1.4312765249409678,0.3147869986117426,50
1350,1.3458435659955552,0.29669333972388534,50
1400,1.1663342881883585,0.2821204365981367,50
1450,0.9074547304969189,0.2772530700817283,50
1500,0.627582743667686,0.2834539171587579,50
1550,0.367552758224506,0.29752282298576255,50
1600,0.1315220547623287,0.31156965602147974,50
1650,-0.07825588620364088,0.3212388202979448,50
1700,-0.2550876095818232,0.3267034183086458,50
1750,-0.3956587879756709,0.3297268962832893,50
1800,-0.5012740850452538,0.33374268205056656,50
1850,-0.5766764798389934,0.34429364177310806,50
1900,-0.6277376128511571,0.36830464671568236,50
1950,-0.6607354812778076,0.41219312238936223,50
