year_bp,y_pred,y_std,rolling_window
0,0.3289905695764633,0.40456800692393435,40
50,0.32195246361779,0.363412298427325,40
100,0.30716637043932526,0.33791799547986145,40
150,0.28007048938994594,0.32478102466849285,40
200,0.24137824471245298,0.3184199669794,40
250,0.19567017811102935,0.3151138867598898,40
300,0.15020974458644626,0.31345405042887836,40
350,0.1126491564587184,0.31249232466570864,40
400,0.08702121124574647,0.3122034746242451,40
450,0.07638908694590651,0.3143420807079512,40
500,0.08216308187131127,0.3194659124857098,40
550,0.1026528932696287,0.3245459633745266,40
600,0.13334711758667583,0.3268442473165837,40
650,0.16922621166830826,0.32601365224339324,40
700,0.20729401872714878,0.3237938530811643,40
750,0.24777270611712188,0.32298398249543575,40
800,0.293954420540654,0.32476022786496284,40
850,0.35316662521678,0.32783178376532557,40
900,0.43162058431099015,0.3311422500277239,40
950,0.5317956768488441,0.33472518561771636,40
1000,0.6514177984904388,0.33911955792679654,40
1050,0.7867708157865839,0.34275380790528437,40
1100,0.9292701208278998,0.344016577974837,40
1150,1.0632760424395495,0.3419817222106565,40
1200,1.1692716869032604,0.33620121926213586,40
1250,1.2315542333322402,0.32612944644571334,40
1300,1.237947425872475,0.31186802867447555,40
1350,1.179900158344763,0.2953844872450745,40
1400,1.051265064214328,0.2815605161201672,40
1450,0.8598919105582861,0.2760829012552457,40
1500,0.6436896124965937,0.28034705551879624,40
1550,0.4298987005541412,0.2915483748434684,40
1600,0.2252523093637916,0.30362998541299036,40
1650,0.03596302724698408,0.31302138515816674,40
1700,-0.12905284674651823,0.3196224954920028,40
1750,-0.2644910990751763,0.3253913134446533,40
1800,-0.36984180618365203,0.33428098645381,40
1850,-0.4486857508563922,0.3505952433376834,40
1900,-0.5057645890030488,0.37788883031179693,40
1950,-0.5458751169577436,0.4185601014850499,40
