year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.37713474698861094,0.4573734483410504,rbf,1.0,True
50,0.29749892624666785,0.4270441572609737,rbf,1.0,True
100,0.22857348666718208,0.40438976107266983,rbf,1.0,True
150,0.17149122872201533,0.38847893106775394,rbf,1.0,True
200,0.12717188979356356,0.37813266026223674,rbf,1.0,True
250,0.09629436057137014,0.37207765637283297,rbf,1.0,True
300,0.07927316302137924,0.3690988041645434,rbf,1.0,True
350,0.07623994047359278,0.3681483259266924,rbf,1.0,True
400,0.08703061045640118,0.3683973298924814,rbf,1.0,True
450,0.11117870855258502,0.3692390345586683,rbf,1.0,True
500,0.14791530958227667,0.3702621208511957,rbf,1.0,True
550,0.19617575440012153,0.3712110260919919,rbf,1.0,True
600,0.2546132407420279,0.3719445004817315,rbf,1.0,True
650,0.32161915961528775,0.372398640021089,rbf,1.0,True
700,0.3953498798211931,0.3725571365403088,rbf,1.0,True
750,0.4737595076652496,0.37242943756984526,rbf,1.0,True
800,0.5546379821293278,0.37203635734313384,rbf,1.0,True
850,0.6356537129749458,0.37140202380733384,rbf,1.0,True
900,0.7143998353180081,0.37055067844189077,rbf,1.0,True
950,0.7884430435518943,0.36950669258141017,rbf,1.0,True
1000,0.8553738838220606,0.36829621093837556,rbf,1.0,True
1050,0.9128573304845128,0.36694907274464117,rbf,1.0,True
1100,0.958682450117726,0.36550007013032887,rbf,1.0,True
1150,0.9908099676963595,0.3639891385516422,rbf,1.0,True
1200,1.0074165934377373,0.3624606751065802,rbf,1.0,True
1250,1.0069350445072984,0.3609627747553935,rbf,1.0,True
1300,0.9880888011039862,0.359547679921369,rbf,1.0,True
1350,0.9499207683868867,0.35827506953316796,rbf,1.0,True
1400,0.8918151703374612,0.35721988616745654,rbf,1.0,True
1450,0.8135121743634339,0.3564861391534939,rbf,1.0,True
1500,0.7151149310596202,0.3562274517433843,rbf,1.0,True
1550,0.5970889065029378,0.3566739416361339,rbf,1.0,True
1600,0.46025357902732866,0.3581631930313151,rbf,1.0,True
1650,0.3057667628815952,0.3611704676004377,rbf,1.0,True
1700,0.13510200198542613,0.36633005879518454,rbf,1.0,True
1750,-0.049980356968730655,0.3744367771229701,rbf,1.0,True
1800,-0.2474676561564123,0.3864162709038413,rbf,1.0,True
1850,-0.4551341036869979,0.40325841640865784,rbf,1.0,True
1900,-0.6705836597135615,0.4259206362853962,rbf,1.0,True
1950,-0.8912955866613752,0.4552231142987413,rbf,1.0,True
