year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.2617252189779033,0.36797172690173974,matern,0.3,False
50,0.3527084475758156,0.29902112150362803,matern,0.3,False
100,0.42203195142349664,0.2872237878476368,matern,0.3,False
150,0.42551849968186006,0.30523798463849816,matern,0.3,False
200,0.36214121074577954,0.30380010281663117,matern,0.3,False
250,0.24802865682083128,0.28662491337437185,matern,0.3,False
300,0.1275152667600221,0.2937934086864503,matern,0.3,False
350,0.05281468860457078,0.2988137808869653,matern,0.3,False
400,0.01151072948933013,0.26803909260272,matern,0.3,False
450,0.00491538369997957,0.2531947280744661,matern,0.3,False
500,0.05402058323759601,0.30722952926074265,matern,0.3,False
550,0.1600732355738341,0.35407005466694347,matern,0.3,False
600,0.2863638927722668,0.356970536993182,matern,0.3,False
650,0.38504581154376294,0.3263347538572022,matern,0.3,False
700,0.41811471295106556,0.2852675467356294,matern,0.3,False
750,0.37411108161459694,0.2817535409214349,matern,0.3,False
800,0.2689191065644674,0.3116604449826348,matern,0.3,False
850,0.17971883792035717,0.32830338024434674,matern,0.3,False
900,0.16894543649441418,0.3308328086441761,matern,0.3,False
950,0.2407813178950352,0.32467837855184356,matern,0.3,False
1000,0.34774835249274283,0.34492644422885643,matern,0.3,False
1050,0.5552678546508943,0.36436938800981267,matern,0.3,False
1100,0.8735901432898125,0.3648987711779018,matern,0.3,False
1150,1.2091058245572701,0.34598007752354976,matern,0.3,False
1200,1.4516621693411873,0.3388757723977562,matern,0.3,False
1250,1.6159353104731615,0.3341724697267094,matern,0.3,False
1300,1.7327906285756485,0.3062359225233262,matern,0.3,False
1350,1.7513564304352365,0.23496227341816886,matern,0.3,False
1400,1.474761815407491,0.15831697858131047,matern,0.3,False
1450,0.8115195899626304,0.15090010538391588,matern,0.3,False
1500,0.3403473232352906,0.16022263349697782,matern,0.3,False
1550,0.14315287136178018,0.2469850767063534,matern,0.3,False
1600,0.005473554327179719,0.3008031986156597,matern,0.3,False
1650,-0.16114725864459778,0.30647753254313875,matern,0.3,False
1700,-0.3161528539495787,0.3071051068389634,matern,0.3,False
1750,-0.4269503698301459,0.3049572567968419,matern,0.3,False
1800,-0.4886756367308438,0.30027978607946754,matern,0.3,False
1850,-0.5091070729325612,0.3015347888200207,matern,0.3,False
1900,-0.48273061395226224,0.30929217608035275,matern,0.3,False
1950,-0.40154634732821826,0.3466083449227947,matern,0.3,False
