year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.3103035378337511,0.37967178956497033,rbf,1.0,False
50,0.3631790322065854,0.3303159126699483,rbf,1.0,False
100,0.3955046302017408,0.31040207254384666,rbf,1.0,False
150,0.38916528028966785,0.3086845214342525,rbf,1.0,False
200,0.33714893402146373,0.3104365087408503,rbf,1.0,False
250,0.24797117780017353,0.30956712987959456,rbf,1.0,False
300,0.14417273691553925,0.30522367790052857,rbf,1.0,False
350,0.05537803781425532,0.297678708720702,rbf,1.0,False
400,0.008555433989530292,0.2915002611812689,rbf,1.0,False
450,0.018873262585741457,0.2959671650107235,rbf,1.0,False
500,0.08410171089933147,0.313370739684643,rbf,1.0,False
550,0.18445573864169376,0.3317943499040422,rbf,1.0,False
600,0.2883551259679963,0.33716558941704244,rbf,1.0,False
650,0.362761624192726,0.3271572265142996,rbf,1.0,False
700,0.38487082605159795,0.3129867911351421,rbf,1.0,False
750,0.35093760862390405,0.30861280180836304,rbf,1.0,False
800,0.27881228791269647,0.31631316242445057,rbf,1.0,False
850,0.20326157228212965,0.32748338469763927,rbf,1.0,False
900,0.16602383782130276,0.3358563680544708,rbf,1.0,False
950,0.20417442433637545,0.34246642764513685,rbf,1.0,False
1000,0.3400629869966485,0.349752577348633,rbf,1.0,False
1050,0.5745416404109507,0.3561196212447904,rbf,1.0,False
1100,0.8838877541718242,0.3579845916942933,rbf,1.0,False
1150,1.220763709124783,0.3537423736839835,rbf,1.0,False
1200,1.520452071924548,0.3429933206272839,rbf,1.0,False
1250,1.7138311179855787,0.3240663453475429,rbf,1.0,False
1300,1.7463328041537494,0.29579839150259046,rbf,1.0,False
1350,1.5975263447182133,0.2621503765736337,rbf,1.0,False
1400,1.2920859672920357,0.23379640912363853,rbf,1.0,False
1450,0.8941325122021891,0.22358634982046707,rbf,1.0,False
1500,0.48477453034406576,0.2363872703136258,rbf,1.0,False
1550,0.1328407587004163,0.2635722759978688,rbf,1.0,False
1600,-0.12631436795394196,0.2909921819317383,rbf,1.0,False
1650,-0.29384857709301204,0.3089698337191683,rbf,1.0,False
1700,-0.39353265202035936,0.31585852178553525,rbf,1.0,False
1750,-0.4516438033748271,0.3156627192150792,rbf,1.0,False
1800,-0.4827728054657444,0.3135529859452721,rbf,1.0,False
1850,-0.4873991553534982,0.31540677915418674,rbf,1.0,False
1900,-0.45888470252974933,0.3311306355584847,rbf,1.0,False
1950,-0.39300159001959134,0.37115942714489736,rbf,1.0,False
