year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.31030371733056017,0.37967204882052963,rq,1.0,False
50,0.3631789904130773,0.3303158989905351,rq,1.0,False
100,0.39550434373728427,0.3104019422408991,rq,1.0,False
150,0.3891647800965295,0.3086843660908618,rq,1.0,False
200,0.3371483292809938,0.31043633521952013,rq,1.0,False
250,0.24797065128039883,0.3095669385140963,rq,1.0,False
300,0.14417246752322255,0.3052234958540822,rq,1.0,False
350,0.05537808452056403,0.2976785420892988,rq,1.0,False
400,0.008555677594874966,0.2915000821133591,rq,1.0,False
450,0.018873467862635773,0.2959669736674656,rq,1.0,False
500,0.08410166661452084,0.3133705712533695,rq,1.0,False
550,0.18445536376570337,0.33179420952677485,rq,1.0,False
600,0.2883544696178716,0.3371654514888837,rq,1.0,False
650,0.3627607918316644,0.32715707712942904,rq,1.0,False
700,0.38486992613527726,0.3129866374712672,rq,1.0,False
750,0.35093677296174813,0.30861265334997723,rq,1.0,False
800,0.27881172699685275,0.3163130209223443,rq,1.0,False
850,0.20326158083759427,0.32748324907542553,rq,1.0,False
900,0.1660247047487973,0.3358562409530183,rq,1.0,False
950,0.2041762773625322,0.3424663223571672,rq,1.0,False
1000,0.3400656578106514,0.34975250943129765,rq,1.0,False
1050,0.5745446505766179,0.3561195802733186,rq,1.0,False
1100,0.8838904865218746,0.3579845405583523,rq,1.0,False
1150,1.2207657158891139,0.35374229221003217,rq,1.0,False
1200,1.5204533205428827,0.34299322317938413,rq,1.0,False
1250,1.713831948237096,0.32406623210082514,rq,1.0,False
1300,1.7463335891270362,0.29579822257191213,rq,1.0,False
1350,1.5975271539509444,0.2621501308549969,rq,1.0,False
1400,1.2920865650601765,0.23379612232145686,rq,1.0,False
1450,0.8941326799528138,0.22358605425565198,rq,1.0,False
1500,0.4847743387866212,0.2363869794703397,rq,1.0,False
1550,0.13284047687674613,0.26357203009550273,rq,1.0,False
1600,-0.12631460864706456,0.2909919994682755,rq,1.0,False
1650,-0.2938489622513122,0.30896968257201,rq,1.0,False
1700,-0.3935335023841773,0.3158583712027473,rq,1.0,False
1750,-0.45164524302815934,0.31566256897009454,rq,1.0,False
1800,-0.48277463947932,0.3135528446386933,rq,1.0,False
1850,-0.48740106681567497,0.3154066611851834,rq,1.0,False
1900,-0.45888655476281415,0.3311306033936721,rq,1.0,False
1950,-0.3930035555362038,0.37115961588456675,rq,1.0,False
