year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.26172521387054964,0.36797170177078187,matern,1.0,False
50,0.35270845024150627,0.29902108231292396,matern,1.0,False
100,0.42203195915449176,0.28722374656299776,matern,1.0,False
150,0.4255185081400148,0.3052379475982878,matern,1.0,False
200,0.36214121592390647,0.30380006530148795,matern,1.0,False
250,0.24802865600368357,0.28662487185446983,matern,1.0,False
300,0.1275152596462461,0.2937933689627651,matern,1.0,False
350,0.05281467821312069,0.298813741981193,matern,1.0,False
400,0.011510718614990978,0.26803904567110004,matern,1.0,False
450,0.004915373140295942,0.2531946747688169,matern,1.0,False
500,0.054020574242608255,0.30722948942602263,matern,1.0,False
550,0.16007323072272317,0.3540700251449566,matern,1.0,False
600,0.28636389373840543,0.356970508882297,matern,1.0,False
650,0.38504581755792644,0.32633472023516397,matern,1.0,False
700,0.4181147211178071,0.2852675044383299,matern,1.0,False
750,0.3741110880179313,0.28175349792525567,matern,1.0,False
800,0.26891910751219006,0.3116604087305581,matern,1.0,False
850,0.17971883409280992,0.3283033474602462,matern,1.0,False
900,0.1689454320925168,0.33083277585809967,matern,1.0,False
950,0.24078131639046474,0.3246783443749308,matern,1.0,False
1000,0.3477483553885218,0.34492641398166174,matern,1.0,False
1050,0.5552678665153715,0.3643693613745159,matern,1.0,False
1100,0.8735901699086285,0.3648987445502257,matern,1.0,False
1150,1.209105869917169,0.34598004797864695,matern,1.0,False
1200,1.4516622382425795,0.33887574167397716,matern,1.0,False
1250,1.6159354098387821,0.3341724372291834,matern,1.0,False
1300,1.732790762388679,0.3062358813303887,matern,1.0,False
1350,1.7513565850832413,0.2349622073059228,matern,1.0,False
1400,1.4747619236094558,0.15831687654884855,matern,1.0,False
1450,0.811519545000102,0.1509000072585358,matern,1.0,False
1500,0.3403472566222453,0.16022252964506176,matern,1.0,False
1550,0.14315282390463033,0.24698500800558915,matern,1.0,False
1600,0.005473522466703018,0.30080315348403897,matern,1.0,False
1650,-0.1611472823070747,0.3064774942518931,matern,1.0,False
1700,-0.31615287587618446,0.3071050704120049,matern,1.0,False
1750,-0.4269503926039022,0.3049572202781128,matern,1.0,False
1800,-0.4886756609049243,0.3002797486146885,matern,1.0,False
1850,-0.5091070993111537,0.3015347514105386,matern,1.0,False
1900,-0.4827306434431028,0.30929213942313394,matern,1.0,False
1950,-0.40154638142717636,0.3466083147074506,matern,1.0,False
