year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.36378704759572505,0.39907996673835044,rbf,0.3,True
50,0.3465588451667993,0.3647637303856283,rbf,0.3,True
100,0.31901158533179785,0.3432478444096427,rbf,0.3,True
150,0.2832514977259777,0.3322634933913377,rbf,0.3,True
200,0.24301906980652493,0.3276502754025769,rbf,0.3,True
250,0.20305183730077558,0.32567870219070755,rbf,0.3,True
300,0.16812856826685826,0.32443751281356614,rbf,0.3,True
350,0.14202224887186138,0.32377950701214187,rbf,0.3,True
400,0.1266556895426539,0.32435759569009404,rbf,0.3,True
450,0.1217390056906836,0.3265232993713184,rbf,0.3,True
500,0.1250630631722305,0.3297591019324111,rbf,0.3,True
550,0.1334458857325855,0.3329090723514558,rbf,0.3,True
600,0.1441250523661675,0.3349040360429554,rbf,0.3,True
650,0.15621852077477125,0.3354140388722968,rbf,0.3,True
700,0.17179686309741685,0.3350343225262029,rbf,0.3,True
750,0.19615798557539965,0.33494424243507054,rbf,0.3,True
800,0.23707218554359877,0.33625921571867495,rbf,0.3,True
850,0.30303295161201327,0.33945150261159884,rbf,0.3,True
900,0.4008383805165574,0.34415127908583043,rbf,0.3,True
950,0.5330580441675214,0.3493505608816079,rbf,0.3,True
1000,0.6960400137031592,0.3537670348236651,rbf,0.3,True
1050,0.8790442926292559,0.35612525014517304,rbf,0.3,True
1100,1.0648591786162334,0.35530735450826995,rbf,0.3,True
1150,1.2319185823683383,0.35048209657559964,rbf,0.3,True
1200,1.3575759633684672,0.3413268179528933,rbf,0.3,True
1250,1.421898605310677,0.3283531754001269,rbf,0.3,True
1300,1.4112019179139477,0.31321413976303925,rbf,0.3,True
1350,1.320586022865934,0.2987453934935455,rbf,0.3,True
1400,1.1549550051509172,0.28841075570023805,rbf,0.3,True
1450,0.9283354181093685,0.2849880921092781,rbf,0.3,True
1500,0.6616778007354855,0.28906189778567826,rbf,0.3,True
1550,0.37963137775022,0.2985853520961337,rbf,0.3,True
1600,0.1069570237644751,0.31001002673779327,rbf,0.3,True
1650,-0.13474452943450743,0.32002134452622044,rbf,0.3,True
1700,-0.3294500234091081,0.32685309778349164,rbf,0.3,True
1750,-0.46797445848678976,0.33097004824929904,rbf,0.3,True
1800,-0.5480405195013096,0.3352152649998694,rbf,0.3,True
1850,-0.573352427164136,0.34426076528674215,rbf,0.3,True
1900,-0.5520173516892064,0.36302255153606794,rbf,0.3,True
1950,-0.4947043921568792,0.3943875701749703,rbf,0.3,True
