year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.31030353358050294,0.3796717800397314,rbf,0.5,False
50,0.3631790301095678,0.3303159058958778,rbf,0.5,False
100,0.39550463246129586,0.310402068144899,rbf,0.5,False
150,0.38916528641744763,0.30868451833273564,rbf,0.5,False
200,0.3371489416910165,0.3104365054935122,rbf,0.5,False
250,0.24797118446339078,0.30956712643857814,rbf,0.5,False
300,0.14417274102704333,0.3052236750797911,rbf,0.5,False
350,0.05537803913547179,0.2976787060054041,rbf,0.5,False
400,0.00855543328067404,0.29150025706663396,rbf,0.5,False
450,0.018873261226157012,0.2959671600952878,rbf,0.5,False
500,0.08410171057296517,0.31337073665142445,rbf,0.5,False
550,0.1844557408563552,0.3317943494944513,rbf,0.5,False
600,0.28835513136374635,0.3371655894027818,rbf,0.5,False
650,0.36276163208235657,0.3271572243525441,rbf,0.5,False
700,0.3848708347203039,0.3129867866956391,rbf,0.5,False
750,0.35093761631448106,0.3086127973875526,rbf,0.5,False
800,0.2788122936820636,0.3163131595404019,rbf,0.5,False
850,0.20326157586166854,0.3274833823682067,rbf,0.5,False
900,0.16602383846064495,0.33585636481324177,rbf,0.5,False
950,0.20417441968321415,0.3424664236532139,rbf,0.5,False
1000,0.3400629733979012,0.34975257385215447,rbf,0.5,False
1050,0.5745416151660014,0.35611961855378654,rbf,0.5,False
1100,0.8838877186389208,0.3579845889950296,rbf,0.5,False
1150,1.2207636702713134,0.35374237071390574,rbf,0.5,False
1200,1.5204520401844748,0.34299331813588213,rbf,0.5,False
1250,1.7138311016537038,0.32406634350733093,rbf,0.5,False
1300,1.7463328037470844,0.2957983890770883,rbf,0.5,False
1350,1.597526351951812,0.262150372297038,rbf,0.5,False
1400,1.2920859705302814,0.23379640307975066,rbf,0.5,False
1450,0.8941325049645218,0.22358634311252956,rbf,0.5,False
1500,0.48477451628958634,0.2363872643702087,rbf,0.5,False
1550,0.13284074892394085,0.26357227201064437,rbf,0.5,False
1600,-0.1263143632125634,0.2909921797717476,rbf,0.5,False
1650,-0.29384855571211,0.3089698319379034,rbf,0.5,False
1700,-0.39353262084710827,0.31585851919334806,rbf,0.5,False
1750,-0.45164377275000966,0.3156627159599742,rbf,0.5,False
1800,-0.4827727821488287,0.31355298259718817,rbf,0.5,False
1850,-0.48739913885066155,0.31540677522109906,rbf,0.5,False
1900,-0.4588846864995647,0.3311306296436151,rbf,0.5,False
1950,-0.39300156682972753,0.371159418111598,rbf,0.5,False
