year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.3103033117381351,0.37967178132029383,rbf,0.3,False
50,0.36317898891854006,0.33031582244466284,rbf,0.3,False
100,0.3955047721865419,0.31040198855502693,rbf,0.3,False
150,0.3891655354691691,0.3086844684612399,rbf,0.3,False
200,0.33714918989275755,0.3104364593871927,rbf,0.3,False
250,0.24797133204998656,0.3095670744241363,rbf,0.3,False
300,0.144172736867216,0.30522362611827886,rbf,0.3,False
350,0.055377893324647376,0.29767864539450223,rbf,0.3,False
400,0.008555206461659137,0.29150015840888077,rbf,0.3,False
450,0.018873041401250623,0.29596705209761504,rbf,0.3,False
500,0.08410158551717914,0.3133706910805012,rbf,0.3,False
550,0.18445576988821902,0.33179438181977294,rbf,0.3,False
600,0.28835532212811876,0.33716563761457724,rbf,0.3,False
650,0.362761932832867,0.32715721607813564,rbf,0.3,False
700,0.38487115038156744,0.3129867114259019,rbf,0.3,False
750,0.35093784398284256,0.30861271480716584,rbf,0.3,False
800,0.27881235949930183,0.3163131193478845,rbf,0.3,False
850,0.20326145370072726,0.3274833706997266,rbf,0.3,False
900,0.16602354481322876,0.3358563476656072,rbf,0.3,False
950,0.20417399738291353,0.3424664002553334,rbf,0.3,False
1000,0.3400624836310089,0.349752569079804,rbf,0.3,False
1050,0.5745411458299148,0.3561196384725033,rbf,0.3,False
1100,0.8838873951693477,0.3579846131185824,rbf,0.3,False
1150,1.220763640374933,0.3537423844619839,rbf,0.3,False
1200,1.5204524139465885,0.34299332388834397,rbf,0.3,False
1250,1.7138318658419305,0.3240663334875673,rbf,0.3,False
1300,1.746333769938305,0.2957983329320167,rbf,0.3,False
1350,1.5975272008909123,0.2621502455026235,rbf,0.3,False
1400,1.292086397849674,0.23379621480301474,rbf,0.3,False
1450,0.8941323891177266,0.22358613176912048,rbf,0.3,False
1500,0.4847739921066194,0.2363870787535869,rbf,0.3,False
1550,0.13284012599035763,0.2635721484901602,rbf,0.3,False
1600,-0.12631478565195797,0.2909921188445585,rbf,0.3,False
1650,-0.2938486503745429,0.3089698009396377,rbf,0.3,False
1700,-0.3935324685018715,0.3158584859026506,rbf,0.3,False
1750,-0.4516435688689101,0.3156626734475504,rbf,0.3,False
1800,-0.4827726963743314,0.31355293409051394,rbf,0.3,False
1850,-0.48739922211349695,0.3154067120179711,rbf,0.3,False
1900,-0.4588848678094427,0.3311305564279584,rbf,0.3,False
1950,-0.39300171732013867,0.3711593910568954,rbf,0.3,False
