year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.3233704682507124,0.3986357984314104,matern,0.5,True
50,0.3463210239455855,0.3459875939650666,matern,0.5,True
100,0.3551379222127054,0.32189618660301433,matern,0.5,True
150,0.33632146742381597,0.31638947342295737,matern,0.5,True
200,0.28878940687685783,0.3147089045143635,matern,0.5,True
250,0.22036767887572348,0.311949415586254,matern,0.5,True
300,0.14751667497055837,0.3102511586692193,matern,0.5,True
350,0.08965534124867025,0.3072449161695441,matern,0.5,True
400,0.05565206739058237,0.30209352558944474,matern,0.5,True
450,0.05264203596529776,0.30398192963124027,matern,0.5,True
500,0.0839123426802853,0.3178969464739164,matern,0.5,True
550,0.1416901648620564,0.33170682220825815,matern,0.5,True
600,0.20863013417228293,0.3350804630075209,matern,0.5,True
650,0.2649993803373744,0.32800346718255535,matern,0.5,True
700,0.2954994902124192,0.31808665559584814,matern,0.5,True
750,0.2961464484667739,0.3158768411561371,matern,0.5,True
800,0.28021068399730653,0.3224670242853884,matern,0.5,True
850,0.2781096662267412,0.3304828936302301,matern,0.5,True
900,0.3181448024509397,0.3367099165912531,matern,0.5,True
950,0.41436995781378766,0.3417708537856712,matern,0.5,True
1000,0.5657432553184176,0.3489925932901454,matern,0.5,True
1050,0.7719574580981996,0.3547627127403394,matern,0.5,True
1100,1.014697779429606,0.35517681663916284,matern,0.5,True
1150,1.2533655381668924,0.3494563150688836,matern,0.5,True
1200,1.4433820666071315,0.34045179927041375,matern,0.5,True
1250,1.5588686785170565,0.32669357809416477,matern,0.5,True
1300,1.581419777016338,0.3049766281764157,matern,0.5,True
1350,1.4887787776677326,0.2763440885080544,matern,0.5,True
1400,1.2546183851929862,0.25169470777752695,matern,0.5,True
1450,0.8973518206951905,0.24379929845091064,matern,0.5,True
1500,0.5396932243467668,0.25392463776762786,matern,0.5,True
1550,0.2514645969768967,0.27879759400504167,matern,0.5,True
1600,0.01626828509935563,0.30116676661951286,matern,0.5,True
1650,-0.18089731427224087,0.3132558402166596,matern,0.5,True
1700,-0.337357200122555,0.31813952733528705,matern,0.5,True
1750,-0.4504116865645126,0.3189864064435885,matern,0.5,True
1800,-0.5221073970713487,0.3195509419266663,matern,0.5,True
1850,-0.5580877761992125,0.3258127418191302,matern,0.5,True
1900,-0.5637852796665962,0.3457730752514621,matern,0.5,True
1950,-0.5454037340735985,0.388995580132747,matern,0.5,True
