year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.33713267365154764,0.42050849254366013,matern,1.0,True
50,0.3366946023546016,0.37044888872790643,matern,1.0,True
100,0.32655717683885704,0.3427044451663745,matern,1.0,True
150,0.30083598665576367,0.33109709508725466,matern,1.0,True
200,0.2597409783822785,0.32666284699150383,matern,1.0,True
250,0.20813534629142738,0.3243446161560683,matern,1.0,True
300,0.1551667828340111,0.32297054489099686,matern,1.0,True
350,0.11156433312813441,0.32155482842860034,matern,1.0,True
400,0.08359903144140479,0.32035965125908034,matern,1.0,True
450,0.07609620588538346,0.32250838896133993,matern,1.0,True
500,0.09090243760814229,0.32907866867818236,matern,1.0,True
550,0.12398095230929757,0.33549748216782926,matern,1.0,True
600,0.1668261883282391,0.3376969915142862,matern,1.0,True
650,0.21000261914083304,0.3354923684190522,matern,1.0,True
700,0.24658285178341452,0.3319421836906697,matern,1.0,True
750,0.27556994116909994,0.33127876229940234,matern,1.0,True
800,0.3048071768147648,0.334486833012723,matern,1.0,True
850,0.3498836006605813,0.33929555120660376,matern,1.0,True
900,0.42501750125398524,0.3441994222429722,matern,1.0,True
950,0.5368685673647157,0.34874252631904507,matern,1.0,True
1000,0.6834818975036134,0.35331310965353696,matern,1.0,True
1050,0.8590129284099023,0.35620852356417115,matern,1.0,True
1100,1.047676982167251,0.3556575408114997,matern,1.0,True
1150,1.2231739774539414,0.35096369625532436,matern,1.0,True
1200,1.3574595989719989,0.3427762726853975,matern,1.0,True
1250,1.4313285092640935,0.33079392594935053,matern,1.0,True
1300,1.4312768849725268,0.31478701839012574,matern,1.0,True
1350,1.3458438855510024,0.29669334268716463,matern,1.0,True
1400,1.1663344918845324,0.28212042428155154,matern,1.0,True
1450,0.9074547611976879,0.2772530529596481,matern,1.0,True
1500,0.6275826234499824,0.28345390730795694,matern,1.0,True
1550,0.36755255056097064,0.29752282944733005,matern,1.0,True
1600,0.13152180637837427,0.31156967580260564,matern,1.0,True
1650,-0.07825614487116339,0.32123884509387896,matern,1.0,True
1700,-0.2550878524381086,0.3267034417857098,matern,1.0,True
1750,-0.3956589926954416,0.32972691372633706,matern,1.0,True
1800,-0.5012742358228487,0.3337426907960142,matern,1.0,True
1850,-0.5766765690641005,0.3442936445359954,matern,1.0,True
1900,-0.6277376395189539,0.36830465657048495,matern,1.0,True
1950,-0.6607354499373743,0.4121931658413647,matern,1.0,True
