year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.310303193744557,0.379671649419407,rq,0.3,False
50,0.3631787819028336,0.33031563865531627,rq,0.3,False
100,0.3955046085642753,0.31040186218093596,rq,0.3,False
150,0.38916542222986106,0.30868440350589454,rq,0.3,False
200,0.33714908757813383,0.31043636432857263,rq,0.3,False
250,0.24797125706515594,0.3095669499984663,rq,0.3,False
300,0.14417276509675905,0.3052235592145961,rq,0.3,False
350,0.05537806412448931,0.297678614047224,rq,0.3,False
400,0.008555444552144409,0.29150003508011524,rq,0.3,False
450,0.01887319542642929,0.2959668635814288,rq,0.3,False
500,0.08410154920950097,0.31337063353766786,rq,0.3,False
550,0.18445555769778596,0.3317945062141823,rq,0.3,False
600,0.28835502324831364,0.33716578060527336,rq,0.3,False
650,0.36276160634117505,0.3271572087806826,rq,0.3,False
700,0.38487079204218644,0.3129865591712437,rq,0.3,False
750,0.35093747365516603,0.30861257247116014,rq,0.3,False
800,0.27881213504323965,0.31631307754436844,rq,0.3,False
850,0.20326166648338814,0.3274833593734761,rq,0.3,False
900,0.16602444724249588,0.33585627506256815,rq,0.3,False
950,0.2041755628039295,0.3424662935677874,rq,0.3,False
1000,0.34006427972049236,0.3497525275844505,rq,0.3,False
1050,0.5745424642566751,0.3561196723564931,rq,0.3,False
1100,0.8838876373441187,0.3579846329206993,rq,0.3,False
1150,1.2207627542775377,0.3537423594979559,rq,0.3,False
1200,1.5204510344996414,0.3429933329424584,rq,0.3,False
1250,1.7138309308304622,0.3240664064960391,rq,0.3,False
1300,1.7463338111379105,0.2957983597228848,rq,0.3,False
1350,1.5975279066195696,0.26215011912259234,rq,0.3,False
1400,1.2920869131021513,0.23379596324648025,rq,0.3,False
1450,0.8941321411608045,0.22358584154988562,rq,0.3,False
1500,0.4847732613081472,0.23638683601661628,rq,0.3,False
1550,0.13283978958018022,0.26357205099996056,rq,0.3,False
1600,-0.12631408624714413,0.29099216183729376,rq,0.3,False
1650,-0.29384710534743785,0.30896985606453686,rq,0.3,False
1700,-0.39353092698598613,0.31585845824458275,rq,0.3,False
1750,-0.4516428333520769,0.3156625916579493,rq,0.3,False
1800,-0.48277295509880014,0.3135528560434052,rq,0.3,False
1850,-0.4874000427634636,0.31540661924013697,rq,0.3,False
1900,-0.45888562805100397,0.3311304074398435,rq,0.3,False
1950,-0.3930020532824321,0.37115922802706935,rq,0.3,False
