medianAge	AGE (kyr BP)	Variance
6730.78979	6.731	98.82983841
6738.54955	6.739	98.91380188
6746.309309	6.746	98.99794947
6754.069069	6.754	99.08226744
6761.828829	6.762	99.16674241
6769.588589	6.770	99.25136105
6777.348348	6.777	99.33611112
6785.108108	6.785	99.42098126
6792.867868	6.793	99.5059601
6800.627628	6.801	99.59103655
6808.387387	6.808	99.67620015
6816.147147	6.816	99.76144047
6823.906907	6.824	99.84674708
6831.666667	6.832	99.93210966
6839.426426	6.839	100.0175179
6847.186186	6.847	100.1029616
6854.945946	6.855	100.1884303
6862.705706	6.863	100.2739138
6870.465465	6.870	100.3594019
6878.225225	6.878	100.4448845
6885.984985	6.886	100.5303518
6893.744745	6.894	100.6157945
6901.504505	6.902	100.7012031
6909.264264	6.909	100.7865692
6917.024024	6.917	100.8718856
6924.783784	6.925	100.957145
6932.543544	6.933	101.042341
6940.303303	6.940	101.1274699
6948.063063	6.948	101.2125281
6955.822823	6.956	101.2975123
6963.582583	6.964	101.3824226
6971.342342	6.971	101.4672602
6979.102102	6.979	101.5520261
6986.861862	6.987	101.6367241
6994.621622	6.995	101.7213599
7002.381381	7.002	101.8059394
7010.141141	7.010	101.8904696
7017.900901	7.018	101.9749597
7025.660661	7.026	102.0594194
7033.42042	7.033	102.1438586
7041.18018	7.041	102.2282884
7048.93994	7.049	102.3127204
7056.6997	7.057	102.3971661
7064.459459	7.064	102.4816372
7072.219219	7.072	102.566145
7079.978979	7.080	102.6507012
7087.738739	7.088	102.7353167
7095.498498	7.095	102.8200011
7103.258258	7.103	102.9047641
7111.018018	7.111	102.989615
7118.777778	7.119	103.0745612
7126.537538	7.127	103.1596094
7134.297297	7.134	103.2447665
7142.057057	7.142	103.3300389
7149.816817	7.150	103.4154316
7157.576577	7.158	103.5009484
7165.336336	7.165	103.5865935
7173.096096	7.173	103.6723707
7180.855856	7.181	103.7582834
7188.615616	7.189	103.8443339
7196.375375	7.196	103.9305246
7204.135135	7.204	104.0168577
7211.894895	7.212	104.1033356
7219.654655	7.220	104.1899604
7227.414414	7.227	104.2767341
7235.174174	7.235	104.3636587
7242.933934	7.243	104.4507362
7250.693694	7.251	104.5379686
7258.453453	7.258	104.625358
7266.213213	7.266	104.7129062
7273.972973	7.274	104.8006155
7281.732733	7.282	104.8884878
7289.492492	7.289	104.9765253
7297.252252	7.297	105.06473
7305.012012	7.305	105.1531035
7312.771772	7.313	105.2416473
7320.531532	7.321	105.3303626
7328.291291	7.328	105.4192509
7336.051051	7.336	105.5083136
7343.810811	7.344	105.5975514
7351.570571	7.352	105.686964
7359.33033	7.359	105.7765512
7367.09009	7.367	105.8663125
7374.84985	7.375	105.9562475
7382.60961	7.383	106.0463557
7390.369369	7.390	106.1366354
7398.129129	7.398	106.227084
7405.888889	7.406	106.317699
7413.648649	7.414	106.408478
7421.408408	7.421	106.4994185
7429.168168	7.429	106.5905175
7436.927928	7.437	106.6817712
7444.687688	7.445	106.7731756
7452.447447	7.452	106.8647268
7460.207207	7.460	106.9564208
7467.966967	7.468	107.0482535
7475.726727	7.476	107.140221
7483.486486	7.483	107.2323192
7491.246246	7.491	107.324544
7499.006006	7.499	107.4168914
7506.765766	7.507	107.5093573
7514.525526	7.515	107.6019376
7522.285285	7.522	107.6946283
7530.045045	7.530	107.7874251
7537.804805	7.538	107.8803239
7545.564565	7.546	107.9733207
7553.324324	7.553	108.0664113
7561.084084	7.561	108.1595931
7568.843844	7.569	108.2528637
7576.603604	7.577	108.3462209
7584.363363	7.584	108.4396624
7592.123123	7.592	108.5331859
7599.882883	7.600	108.6267902
7607.642643	7.608	108.7204752
7615.402402	7.615	108.814241
7623.162162	7.623	108.9080877
7630.921922	7.631	109.0020153
7638.681682	7.639	109.096024
7646.441441	7.646	109.1901137
7654.201201	7.654	109.2842846
7661.960961	7.662	109.3785367
7669.720721	7.670	109.4728701
7677.48048	7.677	109.5672849
7685.24024	7.685	109.6617811
7693	7.693	109.7563588
