medianAge	AGE (kyr BP)	Variance
1298.957958	1.299	196.1701525
1306.717718	1.307	195.8661923
1314.477477	1.314	195.5661393
1322.237237	1.322	195.2699912
1329.996997	1.330	194.9777441
1337.756757	1.338	194.6893926
1345.516517	1.346	194.4049292
1353.276276	1.353	194.1243446
1361.036036	1.361	193.8476268
1368.795796	1.369	193.5747613
1376.555556	1.377	193.3057306
1384.315315	1.384	193.0405145
1392.075075	1.392	192.7790901
1399.834835	1.400	192.5214319
1407.594595	1.408	192.2675122
1415.354354	1.415	192.0173016
1423.114114	1.423	191.77077
1430.873874	1.431	191.5278861
1438.633634	1.439	191.2886191
1446.393393	1.446	191.0529378
1454.153153	1.454	190.8208123
1461.912913	1.462	190.5922132
1469.672673	1.470	190.3671118
1477.432432	1.477	190.1454811
1485.192192	1.485	189.9272958
1492.951952	1.493	189.7125329
1500.711712	1.501	189.5011697
1508.471471	1.508	189.2931852
1516.231231	1.516	189.08856
1523.990991	1.524	188.8872761
1531.750751	1.532	188.6893163
1539.510511	1.540	188.494664
1547.27027	1.547	188.3033022
1555.03003	1.555	188.1152134
1562.78979	1.563	187.9303787
1570.54955	1.571	187.7487779
1578.309309	1.578	187.5703884
1586.069069	1.586	187.3951858
1593.828829	1.594	187.2231434
1601.588589	1.602	187.0542321
1609.348348	1.609	186.8884205
1617.108108	1.617	186.7256752
1624.867868	1.625	186.5659613
1632.627628	1.633	186.4092423
1640.387387	1.640	186.255481
1648.147147	1.648	186.1046389
1655.906907	1.656	185.9566769
1663.666667	1.664	185.8115556
1671.426426	1.671	185.6692335
1679.186186	1.679	185.5296676
1686.945946	1.687	185.3928129
1694.705706	1.695	185.2586217
1702.465465	1.702	185.127044
1710.225225	1.710	184.998027
1717.984985	1.718	184.8715145
1725.744745	1.726	184.7474479
1733.504505	1.734	184.6257646
1741.264264	1.741	184.5064002
1749.024024	1.749	184.3892866
1756.783784	1.757	184.2743531
1764.543544	1.765	184.1615265
1772.303303	1.772	184.0507315
1780.063063	1.780	183.9418908
1787.822823	1.788	183.8349259
1795.582583	1.796	183.7297581
1803.342342	1.803	183.6263081
1811.102102	1.811	183.5244972
1818.861862	1.819	183.424248
1826.621622	1.827	183.3254833
1834.381381	1.834	183.2281261
1842.141141	1.842	183.1320997
1849.900901	1.850	183.0373276
1857.660661	1.858	182.9437335
1865.42042	1.865	182.8512442
1873.18018	1.873	182.7597887
1880.93994	1.881	182.6692981
1888.6997	1.889	182.5797056
1896.459459	1.896	182.4909446
1904.219219	1.904	182.4029489
1911.978979	1.912	182.3156518
1919.738739	1.920	182.2289861
1927.498498	1.927	182.1428845
1935.258258	1.935	182.0572796
1943.018018	1.943	181.9721042
1950.777778	1.951	181.8872874
1958.537538	1.959	181.8027564
1966.297297	1.966	181.7184385
1974.057057	1.974	181.6342609
1981.816817	1.982	181.5501499
1989.576577	1.990	181.4660281
1997.336336	1.997	181.3818174
2005.096096	2.005	181.2974378
2012.855856	2.013	181.2128089
2020.615616	2.021	181.1278509
2028.375375	2.028	181.0424841
2036.135135	2.036	180.956631
2043.894895	2.044	180.8702166
2051.654655	2.052	180.7831687
2059.414414	2.059	180.6954191
2067.174174	2.067	180.6069016
2074.933934	2.075	180.5175556
2082.693694	2.083	180.4273218
2090.453453	2.090	180.3361411
2098.213213	2.098	180.2439547
2105.972973	2.106	180.1507078
2113.732733	2.114	180.0563482
2121.492492	2.121	179.9608259
2129.252252	2.129	179.8640931
2137.012012	2.137	179.766103
2144.771772	2.145	179.6668103
2152.531532	2.153	179.5661701
2160.291291	2.160	179.4641379
2168.051051	2.168	179.3606696
2175.810811	2.176	179.2557211
2183.570571	2.184	179.1492484
2191.33033	2.191	179.0412078
2199.09009	2.199	178.9315556
2206.84985	2.207	178.8202485
2214.60961	2.215	178.7072431
2222.369369	2.222	178.592497
2230.129129	2.230	178.4759693
2237.888889	2.238	178.3576201
2245.648649	2.246	178.2374125
2253.408408	2.253	178.1153112
2261.168168	2.261	177.9912847
2268.927928	2.269	177.8653032
2276.687688	2.277	177.7373413
2284.447447	2.284	177.607376
2292.207207	2.292	177.4753885
2299.966967	2.300	177.341363
2307.726727	2.308	177.2052874
2315.486486	2.315	177.067153
2323.246246	2.323	176.9269539
2331.006006	2.331	176.7846871
2338.765766	2.339	176.6403522
2346.525526	2.347	176.4939511
2354.285285	2.354	176.3454873
2362.045045	2.362	176.1949659
2369.804805	2.370	176.0423935
2377.564565	2.378	175.8877772
2385.324324	2.385	175.7311244
2393.084084	2.393	175.5724423
2400.843844	2.401	175.4117385
2408.603604	2.409	175.2490203
2416.363363	2.416	175.0842953
2424.123123	2.424	174.917571
2431.882883	2.432	174.748855
2439.642643	2.440	174.578155
2447.402402	2.447	174.4054789
2455.162162	2.455	174.2308348
2462.921922	2.463	174.0542313
2470.681682	2.471	173.8756774
2478.441441	2.478	173.6951823
2486.201201	2.486	173.5127561
2493.960961	2.494	173.3284091
2501.720721	2.502	173.1421521
2509.48048	2.509	172.9539964
2517.24024	2.517	172.7639534
2525	2.525	172.5720349
2532.75976	2.533	172.3782525
2540.51952	2.541	172.182618
2548.279279	2.548	171.9851429
2556.039039	2.556	171.7858385
2563.798799	2.564	171.5847157
2571.558559	2.572	171.381785
2579.318318	2.579	171.1770564
2587.078078	2.587	170.9705392
2594.837838	2.595	170.7622429
2602.597598	2.603	170.5521771
2610.357357	2.610	170.3403511
2618.117117	2.618	170.1267743
2625.876877	2.626	169.9114557
2633.636637	2.634	169.6944043
2641.396396	2.641	169.4756294
2649.156156	2.649	169.2551402
2656.915916	2.657	169.0329468
2664.675676	2.665	168.8090595
2672.435435	2.672	168.5834894
2680.195195	2.680	168.3562487
2687.954955	2.688	168.1273503
2695.714715	2.696	167.8968082
2703.474474	2.703	167.664638
2711.234234	2.711	167.4308553
2718.993994	2.719	167.1954775
2726.753754	2.727	166.958523
2734.513514	2.735	166.7200105
2742.273273	2.742	166.4799601
2750.033033	2.750	166.2383922
2757.792793	2.758	165.9953275
2765.552553	2.766	165.7507872
2773.312312	2.773	165.5047921
2781.072072	2.781	165.2573626
2788.831832	2.789	165.0085188
2796.591592	2.797	164.7582809
2804.351351	2.804	164.5066688
2812.111111	2.812	164.2537024
2819.870871	2.820	163.999398
2827.630631	2.828	163.7437707
2835.39039	2.835	163.4868331
2843.15015	2.843	163.2285943
2850.90991	2.851	162.9690629
2858.66967	2.859	162.7082477
2866.429429	2.866	162.4461574
2874.189189	2.874	162.1828008
2881.948949	2.882	161.9181866
2889.708709	2.890	161.6523237
2897.468468	2.897	161.385221
2905.228228	2.905	161.1168872
2912.987988	2.913	160.8473305
2920.747748	2.921	160.5765568
2928.507508	2.929	160.3045714
2936.267267	2.936	160.0313798
2944.027027	2.944	159.7569876
2951.786787	2.952	159.4814012
2959.546547	2.960	159.2046302
2967.306306	2.967	158.9266851
2975.066066	2.975	158.6475764
2982.825826	2.983	158.3673146
2990.585586	2.991	158.08591
2998.345345	2.998	157.8033732
3006.105105	3.006	157.5197147
3013.864865	3.014	157.2349527
3021.624625	3.022	156.9491145
3029.384384	3.029	156.662229
3037.144144	3.037	156.3743362
3044.903904	3.045	156.0854825
3052.663664	3.053	155.795714
3060.423423	3.060	155.5050765
3068.183183	3.068	155.2136156
3075.942943	3.076	154.9213767
3083.702703	3.084	154.6284048
3091.462462	3.091	154.3347447
3099.222222	3.099	154.0404407
3106.981982	3.107	153.7455371
3114.741742	3.115	153.4500777
3122.501502	3.123	153.1541062
3130.261261	3.130	152.8576663
3138.021021	3.138	152.5608038
3145.780781	3.146	152.2635651
3153.540541	3.154	151.9659963
3161.3003	3.161	151.6681436
3169.06006	3.169	151.3700531
3176.81982	3.177	151.0717695
3184.57958	3.185	150.7733371
3192.339339	3.192	150.4747995
3200.099099	3.200	150.1761988
3207.858859	3.208	149.8775769
3215.618619	3.216	149.5789743
3223.378378	3.223	149.2804311
3231.138138	3.231	148.9819869
3238.897898	3.239	148.6836806
3246.657658	3.247	148.385551
3254.417417	3.254	148.0876363
3262.177177	3.262	147.7899746
3269.936937	3.270	147.4926037
3277.696697	3.278	147.1955613
3285.456456	3.285	146.8988849
3293.216216	3.293	146.6026115
3300.975976	3.301	146.3067776
3308.735736	3.309	146.0114194
3316.495495	3.316	145.7165717
3324.255255	3.324	145.4222689
3332.015015	3.332	145.1285434
3339.774775	3.340	144.8354264
3347.534535	3.348	144.5429478
3355.294294	3.355	144.2511348
3363.054054	3.363	143.9600134
3370.813814	3.371	143.6696069
3378.573574	3.379	143.3799367
3386.333333	3.386	143.0910218
3394.093093	3.394	142.8028792
3401.852853	3.402	142.5155233
3409.612613	3.410	142.2289673
3417.372372	3.417	141.9432226
3425.132132	3.425	141.6582996
3432.891892	3.433	141.374208
3440.651652	3.441	141.0909567
3448.411411	3.448	140.8085545
3456.171171	3.456	140.5270098
3463.930931	3.464	140.2463312
3471.690691	3.472	139.9665272
3479.45045	3.479	139.6876068
3487.21021	3.487	139.4095787
3494.96997	3.495	139.1324522
3502.72973	3.503	138.8562361
3510.489489	3.510	138.5809394
3518.249249	3.518	138.3065707
3526.009009	3.526	138.0331381
3533.768769	3.534	137.7606493
3541.528529	3.542	137.4891112
3549.288288	3.549	137.2185296
3557.048048	3.557	136.9489101
3564.807808	3.565	136.6802568
3572.567568	3.573	136.4125727
3580.327327	3.580	136.1458607
3588.087087	3.588	135.8801225
3595.846847	3.596	135.6153584
3603.606607	3.604	135.3515687
3611.366366	3.611	135.0887533
3619.126126	3.619	134.8269117
3626.885886	3.627	134.5660421
3634.645646	3.635	134.306143
3642.405405	3.642	134.0472129
3650.165165	3.650	133.78925
3657.924925	3.658	133.5322524
3665.684685	3.666	133.2762181
3673.444444	3.673	133.0211452
3681.204204	3.681	132.7670318
3688.963964	3.689	132.5138762
3696.723724	3.697	132.2616768
3704.483483	3.704	132.0104317
3712.243243	3.712	131.7601393
3720.003003	3.720	131.5107975
3727.762763	3.728	131.2624044
3735.522523	3.736	131.0149578
3743.282282	3.743	130.7684555
3751.042042	3.751	130.5228943
3758.801802	3.759	130.2782706
3766.561562	3.767	130.0345808
3774.321321	3.774	129.7918211
3782.081081	3.782	129.5499863
3789.840841	3.790	129.3090702
3797.600601	3.798	129.069067
3805.36036	3.805	128.8299707
3813.12012	3.813	128.5917746
3820.87988	3.821	128.3544708
3828.63964	3.829	128.1180512
3836.399399	3.836	127.8825077
3844.159159	3.844	127.6478321
3851.918919	3.852	127.4140154
3859.678679	3.860	127.1810484
3867.438438	3.867	126.9489223
3875.198198	3.875	126.7176278
3882.957958	3.883	126.4871557
3890.717718	3.891	126.2574972
3898.477477	3.898	126.0286434
3906.237237	3.906	125.8005857
3913.996997	3.914	125.5733156
3921.756757	3.922	125.346825
3929.516517	3.930	125.1211059
3937.276276	3.937	124.8961505
3945.036036	3.945	124.6719512
3952.795796	3.953	124.4485006
3960.555556	3.961	124.2257914
3968.315315	3.968	124.0038164
3976.075075	3.976	123.7825688
3983.834835	3.984	123.5620418
3991.594595	3.992	123.3422285
3999.354354	3.999	123.1231222
4007.114114	4.007	122.9047162
4014.873874	4.015	122.6870039
4022.633634	4.023	122.4699787
4030.393393	4.030	122.2536339
4038.153153	4.038	122.0379631
4045.912913	4.046	121.8229599
4053.672673	4.054	121.6086197
4061.432432	4.061	121.3949381
4069.192192	4.069	121.181911
4076.951952	4.077	120.9695357
4084.711712	4.085	120.7578111
4092.471471	4.092	120.5467364
4100.231231	4.100	120.3363112
4107.990991	4.108	120.126538
4115.750751	4.116	119.9174199
4123.510511	4.124	119.7089602
4131.27027	4.131	119.5011639
4139.03003	4.139	119.2940381
4146.78979	4.147	119.0875899
4154.54955	4.155	118.8818268
4162.309309	4.162	118.6767586
4170.069069	4.170	118.4723948
4177.828829	4.178	118.2687452
4185.588589	4.186	118.0658198
4193.348348	4.193	117.8636289
4201.108108	4.201	117.6621827
4208.867868	4.209	117.4614911
4216.627628	4.217	117.2615627
4224.387387	4.224	117.0624054
4232.147147	4.232	116.8640273
4239.906907	4.240	116.6664361
4247.666667	4.248	116.4696396
4255.426426	4.255	116.2736442
4263.186186	4.263	116.0784533
4270.945946	4.271	115.8840701
4278.705706	4.279	115.6904976
4286.465465	4.286	115.4977388
4294.225225	4.294	115.3057968
4301.984985	4.302	115.1146745
4309.744745	4.310	114.924375
4317.504505	4.318	114.734901
4325.264264	4.325	114.5462536
4333.024024	4.333	114.3584321
4340.783784	4.341	114.171436
4348.543544	4.349	113.9852646
4356.303303	4.356	113.7999175
4364.063063	4.364	113.6153941
4371.822823	4.372	113.4316937
4379.582583	4.380	113.2488157
4387.342342	4.387	113.0667596
4395.102102	4.395	112.8855247
4402.861862	4.403	112.7051099
4410.621622	4.411	112.5255143
4418.381381	4.418	112.3467369
4426.141141	4.426	112.1687766
4433.900901	4.434	111.9916325
4441.660661	4.442	111.8153036
4449.42042	4.449	111.6397889
4457.18018	4.457	111.4650875
4464.93994	4.465	111.2911982
4472.6997	4.473	111.1181192
4480.459459	4.480	110.9458483
4488.219219	4.488	110.7743832
4495.978979	4.496	110.6037218
4503.738739	4.504	110.4338618
4511.498498	4.511	110.2648011
4519.258258	4.519	110.0965374
4527.018018	4.527	109.9290687
4534.777778	4.535	109.7623927
4542.537538	4.543	109.5965068
4550.297297	4.550	109.4314067
4558.057057	4.558	109.2670878
4565.816817	4.566	109.1035455
4573.576577	4.574	108.9407754
4581.336336	4.581	108.7787729
4589.096096	4.589	108.6175337
4596.855856	4.597	108.4570532
4604.615616	4.605	108.297327
4612.375375	4.612	108.1383508
4620.135135	4.620	107.9801207
4627.894895	4.628	107.8226337
4635.654655	4.636	107.6658866
4643.414414	4.643	107.5098763
4651.174174	4.651	107.3545999
4658.933934	4.659	107.2000543
4666.693694	4.667	107.0462365
4674.453453	4.674	106.8931435
4682.213213	4.682	106.7407723
4689.972973	4.690	106.5891206
4697.732733	4.698	106.4381898
4705.492492	4.705	106.2879826
4713.252252	4.713	106.1385017
4721.012012	4.721	105.9897496
4728.771772	4.729	105.841729
4736.531532	4.737	105.6944425
4744.291291	4.744	105.5478926
4752.051051	4.752	105.402082
4759.810811	4.760	105.2570131
4767.570571	4.768	105.1126896
4775.33033	4.775	104.9691181
4783.09009	4.783	104.8263058
4790.84985	4.791	104.6842599
4798.60961	4.799	104.5429875
4806.369369	4.806	104.4024957
4814.129129	4.814	104.2627914
4821.888889	4.822	104.1238817
4829.648649	4.830	103.9857736
4837.408408	4.837	103.848474
4845.168168	4.845	103.7119898
4852.927928	4.853	103.5763282
4860.687688	4.861	103.4414962
4868.447447	4.868	103.3075008
4876.207207	4.876	103.174349
4883.966967	4.884	103.0420477
4891.726727	4.892	102.910604
4899.486486	4.899	102.7800246
4907.246246	4.907	102.6503165
4915.006006	4.915	102.5214864
4922.765766	4.923	102.3935399
4930.525526	4.931	102.2664816
4938.285285	4.938	102.1403164
4946.045045	4.946	102.0150488
4953.804805	4.954	101.8906836
4961.564565	4.962	101.7672254
4969.324324	4.969	101.6446789
4977.084084	4.977	101.5230486
4984.843844	4.985	101.4023392
4992.603604	4.993	101.2825552
5000.363363	5.000	101.1636998
5008.123123	5.008	101.0457757
5015.882883	5.016	100.9287859
5023.642643	5.024	100.8127332
5031.402402	5.031	100.6976202
5039.162162	5.039	100.58345
5046.921922	5.047	100.4702252
5054.681682	5.055	100.3579487
5062.441441	5.062	100.2466233
5070.201201	5.070	100.1362515
5077.960961	5.078	100.0268346
5085.720721	5.086	99.918374
5093.48048	5.093	99.81087075
5101.24024	5.101	99.70432609
5109	5.109	99.59874124
5116.75976	5.117	99.49411743
5124.51952	5.125	99.3904559
5132.279279	5.132	99.28775789
5140.039039	5.140	99.18602466
5147.798799	5.148	99.08525665
5155.558559	5.156	98.98545327
5163.318318	5.163	98.88661388
5171.078078	5.171	98.78873785
5178.837838	5.179	98.69182457
5186.597598	5.187	98.59587346
5194.357357	5.194	98.50088395
5202.117117	5.202	98.4068555
5209.876877	5.210	98.31378758
5217.636637	5.218	98.22167965
5225.396396	5.225	98.13053083
5233.156156	5.233	98.04033991
