year	SST_NINO3.4_RECONSTRUTED
850	0.3976800051
851	0.007165089312
852	0.3098218448
853	0.3689910961
854	-0.3896217135
855	0.3853310723
856	0.01979994023
857	1.074022677
858	1.050409005
859	0.7664727692
860	0.8131973026
861	0.3874072867
862	-0.6137742014
863	-0.6997970454
864	-0.03822972858
865	0.1118189678
866	0.5335609217
867	0.5086271555
868	-0.1676531448
869	-1.462675405
870	-0.3226932619
871	-0.4562810966
872	0.04627353186
873	1.479485096
874	0.9614108738
875	1.320471066
876	0.3775805837
877	-0.8881370661
878	0.3145407454
879	0.4587582613
880	0.07211953114
881	-0.1769656641
882	0.4356796338
883	0.7118313548
884	-0.2093119659
885	0.2681763534
886	0.1309089902
887	0.5152293303
888	1.017452022
889	0.3991759327
890	-0.04655234792
891	-0.5700125897
892	-0.2002899171
893	0.5963977881
894	0.7485941913
895	1.095402326
896	0.05582148636
897	-0.4667789753
898	-0.1869377906
899	-0.6640225737
900	-0.6012136018
901	-0.5547515582
902	-0.5623264315
903	-0.7219252609
904	-0.3087345557
905	0.5190438814
906	0.2304147825
907	0.6442155793
908	0.9524053171
909	1.146310675
910	1.279673006
911	0.4396118809
912	0.1980484136
913	-0.2788288212
914	0.1346001217
915	1.058169566
916	-0.8972393153
917	-0.4918707379
918	0.1913847624
919	0.156899634
920	0.5384673614
921	-0.4269557082
922	-0.6069888565
923	0.0312461121
924	-0.03445737348
925	0.1965052425
926	0.9609314448
927	0.788106007
928	0.5235912137
929	0.7879242303
930	-0.1243212856
931	0.3683408658
932	0.4812173735
933	-0.5554680763
934	-1.551472614
935	-0.9340919075
936	0.5172720223
937	1.035996154
938	0.2279011529
939	0.2570447194
940	-0.629743711
941	-0.4722681664
942	-0.0432191035
943	0.5562082688
944	0.3235281525
945	1.558509248
946	1.209425868
947	1.033206024
948	0.9341486448
949	0.8906253244
950	0.3704021754
951	-0.1489924237
952	0.7257100952
953	0.1811286415
954	-0.1497799419
955	0.9575849739
956	-0.06710705503
957	0.7244210358
958	-0.1363433496
959	0.8519484053
960	0.5447103575
961	1.07282636
962	0.4997300952
963	1.09549103
964	0.6428009963
965	0.5785647583
966	0.4213634294
967	0.3596142543
968	0.7297944229
969	0.1684495453
970	0.09748942453
971	0.09631255693
972	-0.5615674721
973	-1.131259713
974	0.1072704296
975	-0.4148247359
976	-0.5443145266
977	-0.3798691813
978	-0.1826956427
