year_bp,y_pred,y_std,bins
0,0.6751048636850225,0.4436937463168166,40
40,0.7050782979988182,0.3751494022334926,40
80,0.7239543989052688,0.32854798833850674,40
120,0.7164298392942918,0.30362577200075863,40
160,0.669140624152831,0.29569260840415446,40
200,0.5856009482149357,0.2941441297067559,40
240,0.4775213688467331,0.2935522685468074,40
280,0.3644294157915574,0.2951766148217563,40
320,0.26722330619605505,0.3001969297076385,40
360,0.19124420591339159,0.30448033267692776,40
400,0.13701843032371386,0.3072843376787889,40
440,0.10491122466010394,0.3131361126862091,40
480,0.09702437563146188,0.32543290600592706,40
520,0.1129280860115291,0.34009413161102003,40
560,0.14601478039054108,0.3513290264727137,40
600,0.18738941075938537,0.35573573881285103,40
640,0.2276327516177708,0.3532823588406304,40
680,0.25813320817170077,0.34664442798643097,40
720,0.2747279745946518,0.3396502986682445,40
760,0.28456378457521603,0.33474122889700514,40
800,0.29628820778831355,0.3325753133240109,40
840,0.3210523803395547,0.3305983798602649,40
880,0.3655123828431634,0.326527923459547,40
920,0.4272174190973062,0.3206457338380261,40
960,0.49097737990380647,0.3161122198547226,40
1000,0.539194690488154,0.31552707510952765,40
1040,0.5777222475076388,0.3138934385119399,40
1080,0.6153218249119088,0.30687458070762563,40
1120,0.6574360996966322,0.29362188659174593,40
1160,0.7073176166732336,0.2770472259507387,40
1200,0.7712168224304301,0.2627784508825855,40
1240,0.8640221547323343,0.254975979158472,40
1280,0.9760891984694715,0.2522159318849162,40
1320,1.0923034247463763,0.2516265886092737,40
1360,1.169332313671851,0.2515823888867043,40
1400,1.1345479234746507,0.25157554579144625,40
1440,0.960287218014928,0.2515468095575988,40
1480,0.6930548483953485,0.2515204831739571,40
1520,0.3872021963113277,0.2515067016814067,40
1560,0.06490377269481332,0.251501803263229,40
1600,-0.26016490014634136,0.2515020981113559,40
1640,-0.564401298394638,0.25151383578896763,40
1680,-0.8177550471593933,0.25156117889733665,40
1720,-0.9964787046618924,0.25168226412011674,40
1760,-1.100633204568651,0.25188325997227196,40
1800,-1.1491654421390913,0.252051500945055,40
1840,-1.165123125966871,0.2520543836992855,40
1880,-1.1581853071234975,0.2527979271194524,40
1920,-1.126784123914096,0.25935389492087363,40
1960,-1.0821476952682907,0.2842727090575644,40
