year_bp,y_pred,y_std,bins
0,-0.01592456269562187,0.49028311267514907,25
25,0.17115078965549352,0.36170513864658704,25
50,0.3603794117768299,0.28037841447769607,25
75,0.5375491830237012,0.23377209599400697,25
100,0.6964355690989542,0.2057676104733977,25
125,0.8238822294458906,0.19684157069573216,25
150,0.894245297605319,0.21487401668929726,25
175,0.8947245239136822,0.23903333889167824,25
200,0.8311947669742888,0.24792744179944287,25
225,0.7090241815279328,0.23604052074847995,25
250,0.5457684562375313,0.212637248511513,25
275,0.3614820730555136,0.2006523029341098,25
300,0.201813055475612,0.2138288681856457,25
325,0.09808608155682629,0.24574469135836793,25
350,0.04320142901386129,0.2650351979196701,25
375,0.02060036352836872,0.2546211893661521,25
400,0.018140604697770124,0.2173245223640809,25
425,0.022185847023400276,0.17408317059524903,25
450,0.034078846209839156,0.16568199404451592,25
475,0.05876027830612181,0.21147228521091238,25
500,0.10375116703906347,0.275434244861597,25
525,0.17730950935220538,0.3300686175658574,25
550,0.27460899031161856,0.3656107852755841,25
575,0.38777941443975705,0.37869806002994505,25
600,0.5047292148402129,0.3692719944174769,25
625,0.6091754880697804,0.341843245778995,25
650,0.6818392621804839,0.30317453075344447,25
675,0.7072892192023189,0.25870632989507897,25
700,0.6678141033489458,0.225315841317431,25
725,0.5597224486348075,0.22407104031939884,25
750,0.42217273213468365,0.2368296779993771,25
775,0.2836255467634467,0.25328845710289816,25
800,0.1582804412621807,0.269068119459405,25
825,0.07414315650274689,0.2766522818878391,25
850,0.058196140043675154,0.2728651219908662,25
875,0.12473954495360601,0.2582118061809308,25
900,0.2700795132072055,0.2231082956002085,25
925,0.4629688061390681,0.1605652706359773,25
950,0.6365694883674898,0.1078358715533215,25
975,0.7184149570243101,0.16023262417612452,25
1000,0.7242891041140899,0.23383569739827395,25
1025,0.7071625171584162,0.285243939657529,25
1050,0.7064894041381337,0.31141897688223336,25
1075,0.7387410064881306,0.3143531533714402,25
1100,0.796824485222934,0.2934656566512583,25
1125,0.8505499374264498,0.24566697096012008,25
1150,0.8632582725208869,0.17678241342279288,25
1175,0.8007366052223154,0.11734546475545589,25
1200,0.6864627714377021,0.1043515344809481,25
1225,0.6789719451678378,0.10420445499325166,25
1250,0.7753775931619545,0.10401707719460203,25
1275,0.7719394319170887,0.10392574844479598,25
1300,0.7168416808789512,0.10391834152532431,25
1325,0.8394578127013576,0.10391831125303633,25
1350,1.1851348142742593,0.10391797165707774,25
1375,1.5258308968998315,0.10391789484915782,25
1400,1.632708272793911,0.10391789269035598,25
1425,1.396955067177673,0.10391789216596023,25
1450,0.9591614753432681,0.10391789174397659,25
1475,0.5873610679772918,0.10391789169554974,25
1500,0.36711513123365935,0.10391789169532131,25
1525,0.3041907509427805,0.10391789169410304,25
1550,0.24104852304111474,0.10391789169372231,25
1575,0.09213383894479618,0.1039178916938746,25
1600,-0.12417553390313499,0.10391789169364617,25
1625,-0.3674880555777339,0.10391789169448375,25
1650,-0.6252223177264656,0.10391789169798632,25
1675,-0.8520605325885077,0.10391789169874774,25
1700,-0.9974281391310027,0.10391789175920516,25
1725,-1.0932204588034606,0.10391789262692899,25
1750,-1.1287934482112076,0.10391789475253255,25
1775,-1.1059291863034935,0.10391789550162582,25
1800,-1.056901619816899,0.10391801739253564,25
1825,-1.0392089506213777,0.10391885890525689,25
1850,-1.1028253721778813,0.10391952726779724,25
1875,-1.20326414962514,0.10392711329619941,25
1900,-1.214512818862136,0.10410052865538384,25
1925,-1.1282678127974255,0.10470902158669666,25
1950,-1.0373133217142068,0.10470918471128189,25
1975,-0.9713787970032566,0.12282123981820671,25
